Region,Country,Region Key
Sub-Saharan Africa,Namibia,1
Europe,Iceland,2
Europe,Russia,3
Europe,Moldova ,4
Europe,Malta,5
Asia,Indonesia,6
Sub-Saharan Africa,Djibouti,7
Europe,Greece,8
Sub-Saharan Africa,Cameroon,9
Sub-Saharan Africa,Nigeria,10
Sub-Saharan Africa,Senegal,11
Middle East and North Africa,Afghanistan,12
Asia,India,13
Middle East and North Africa,Lebanon,14
Middle East and North Africa,Turkey,15
Middle East and North Africa,Iraq,16
Sub-Saharan Africa,Rwanda,17
Europe,Ukraine,18
Europe,Finland,19
Sub-Saharan Africa,South Sudan,20
Central America and the Caribbean,Antigua and Barbuda ,21
Middle East and North Africa,Kuwait,22
Europe,United Kingdom,23
Central America and the Caribbean,Saint Kitts and Nevis ,24
Central America and the Caribbean,Saint Lucia,25
Middle East and North Africa,Tunisia ,26
Middle East and North Africa,Yemen,27
Sub-Saharan Africa,Guinea,28
Australia and Oceania,Tuvalu,29
Asia,South Korea,30
Europe,San Marino,31
Central America and the Caribbean,Trinidad and Tobago,32
Europe,Kosovo,33
Europe,Hungary,34
Sub-Saharan Africa,Botswana,35
Central America and the Caribbean,Guatemala,36
Middle East and North Africa,United Arab Emirates,37
Australia and Oceania,Samoa ,38
Middle East and North Africa,Bahrain,39
Central America and the Caribbean,Saint Vincent and the Grenadines,40
Middle East and North Africa,Pakistan,41
Europe,Poland,42
Europe,Lithuania,43
Sub-Saharan Africa,Sudan,44
Europe,Portugal,45
Australia and Oceania,Fiji,46
Sub-Saharan Africa,Tanzania,47
Sub-Saharan Africa,Cape Verde,48
North America,Greenland,49
Sub-Saharan Africa,Guinea-Bissau,50
Europe,Georgia,51
Central America and the Caribbean,Jamaica,52
Europe,Bulgaria,53
Asia,Kazakhstan,54
Central America and the Caribbean,Grenada,55
Central America and the Caribbean,Honduras,56
Asia,Mongolia,57
Central America and the Caribbean,Belize,58
North America,United States of America,59
Sub-Saharan Africa,South Africa,60
Europe,Austria,61
Australia and Oceania,Marshall Islands,62
Sub-Saharan Africa,Sierra Leone,63
Europe,Romania,64
Asia,Malaysia,65
Australia and Oceania,New Zealand,66
Sub-Saharan Africa,Mozambique,67
Middle East and North Africa,Somalia,68
Europe,Denmark,69
Australia and Oceania,Solomon Islands,70
Australia and Oceania,Vanuatu,71
Asia,Singapore,72
Europe,Luxembourg,73
Australia and Oceania,Australia,74
Asia,Brunei,75
Australia and Oceania,Papua New Guinea,76
Asia,Kyrgyzstan,77
Sub-Saharan Africa,Chad,78
Sub-Saharan Africa,Togo,79
Sub-Saharan Africa,Mali,80
Europe,Croatia,81
Asia,Taiwan,82
Central America and the Caribbean,Barbados,83
Sub-Saharan Africa,Equatorial Guinea,84
North America,Canada,85
Sub-Saharan Africa,Eritrea,86
North America,Mexico,87
Sub-Saharan Africa,Niger,88
Sub-Saharan Africa,Madagascar,89
Sub-Saharan Africa,Gabon,90
Central America and the Caribbean,El Salvador,91
Europe,Sweden,92
Sub-Saharan Africa,Angola,93
Asia,Sri Lanka,94
Europe,Cyprus,95
Sub-Saharan Africa,Ethiopia,96
Sub-Saharan Africa,Liberia,97
Middle East and North Africa,Egypt,98
Europe,Montenegro,99
Australia and Oceania,Nauru,100
Australia and Oceania,Kiribati,101
Middle East and North Africa,Iran,102
Sub-Saharan Africa,Democratic Republic of the Congo,103
Europe,Vatican City,104
Asia,North Korea,105
Middle East and North Africa,Jordan,106
Sub-Saharan Africa,Sao Tome and Principe,107
Sub-Saharan Africa,Seychelles ,108
Europe,France,109
Sub-Saharan Africa,Mauritius ,110
Asia,Cambodia,111
Central America and the Caribbean,Dominican Republic,112
Asia,Tajikistan,113
Europe,Netherlands,114
Sub-Saharan Africa,Comoros,115
