Date Key,Product Key,Region Key,Units Sold,Total Revenue,Total Cost,Total Profit
1,1,1,3604,2408445.08,1811154.16,597290.92
2,2,2,8435,2153286.8,1344707.7,808579.1
3,3,3,4848,2045322.72,1768017.12,277305.6
4,3,4,7225,3048155.25,2634885.25,413270.0
5,4,5,1975,406257.5,231292.25,174965.25
6,3,6,2542,1072444.38,927041.98,145402.4
7,1,7,4398,2939051.46,2210170.92,728880.54
8,1,8,49,32745.23,24624.46,8120.77
9,5,9,4031,1762353.2,1061483.23,700869.97
10,5,10,7911,3458689.2,2083203.63,1375485.57
11,6,11,5288,49337.04,36592.96,12744.08
12,5,12,6792,2969462.4,1788537.36,1180925.04
13,7,13,5084,783241.04,462288.12,320952.92
14,7,14,9855,1518261.3,896115.15,622146.15
15,8,15,2831,1843575.51,1486161.76,357413.75
16,5,16,2766,1209295.2,728370.78,480924.42
17,9,17,445,36369.85,25218.15,11151.7
18,2,18,3687,941217.36,587781.54,353435.82
19,8,19,2339,1523180.19,1227881.44,295298.75
20,10,20,3283,155778.35,104366.57,51411.78
21,6,21,5428,50643.24,37561.76,13081.48
22,9,22,4718,385602.14,267369.06,118233.08
23,8,23,9125,5942291.25,4790260.0,1152031.25
24,9,24,3656,298804.88,207185.52,91619.36
25,9,21,5345,436846.85,302901.15,133945.7
26,5,25,8261,3611709.2,2175369.13,1436340.07
27,9,22,8502,694868.46,481808.34,213060.12
28,8,20,9197,5989178.37,4828057.12,1161121.25
29,11,26,5509,840563.22,536796.96,303766.26
30,4,27,9629,1980685.3,1127652.19,853033.11
31,7,28,5781,890620.86,525666.33,364954.53
32,1,29,5220,3488369.4,2623258.8,865110.6
33,4,30,1232,253422.4,144279.52,109142.88
34,3,31,4134,1744093.26,1507628.46,236464.8
35,1,32,6276,4194062.52,3153941.04,1040121.48
36,3,33,7036,2968418.04,2565958.84,402459.2
37,9,34,7826,639618.98,443499.42,196119.56
38,9,35,7089,579383.97,401733.63,177650.34
39,10,15,5298,251390.1,168423.42,82966.68
40,9,36,605,49446.65,34285.35,15161.3
41,1,37,3806,2543435.62,1912667.24,630768.38
42,7,38,8161,1257283.66,742079.73,515203.93
43,10,35,9298,441190.1,295583.42,145606.68
44,8,39,4880,3177904.8,2561804.8,616100.0
45,11,40,9598,1464462.84,935229.12,529233.72
46,2,41,176,44929.28,28057.92,16871.36
39,10,34,370,17556.5,11762.3,5794.2
47,4,42,5964,1226794.8,698444.04,528350.76
48,8,26,9777,6366880.17,5132533.92,1234346.25
49,6,43,6657,62109.81,46066.44,16043.37
50,7,38,8484,1307045.04,771450.12,535594.92
51,10,44,9170,435116.5,291514.3,143602.2
52,9,45,9656,789184.88,547205.52,241979.36
53,7,46,2916,449238.96,265151.88,184087.08
54,3,47,8955,3778024.95,3265798.95,512226.0
55,3,48,4547,1918333.83,1658245.43,260088.4
56,7,14,4265,657065.9,387816.45,269249.45
57,9,49,7094,579792.62,402016.98,177775.64
58,2,50,3196,815874.88,509506.32,306368.56
59,3,51,9762,4118490.18,3560103.78,558386.4
60,3,52,6017,2538512.13,2194339.73,344172.4
61,11,53,8215,1253444.7,800469.6,452975.1
62,1,54,4641,3101441.07,2332288.14,769152.93
63,12,17,615,67207.2,22041.6,45165.6
64,5,55,3484,1523204.8,917441.72,605763.08
65,8,56,7628,4967429.88,4004394.88,963035.0
66,8,57,9459,6159795.39,4965596.64,1194198.75
67,3,58,2418,1020130.02,881820.42,138309.6
68,3,59,1979,834920.31,721721.51,113198.8
69,3,60,648,273384.72,236319.12,37065.6
70,7,61,2960,456017.6,269152.8,186864.8
71,11,62,482,73543.56,46966.08,26577.48
72,1,63,6814,4553591.78,3424307.56,1129284.22
73,3,64,2586,1091007.54,943088.34,147919.2
74,12,65,457,49940.96,16378.88,33562.08
75,5,34,122,53338.4,32126.26,21212.14
76,10,66,3303,156727.35,105002.37,51724.98
77,8,67,8755,5701343.55,4596024.8,1105318.75
78,10,1,7264,344676.8,230922.56,113754.24
79,9,26,6649,543422.77,376798.83,166623.94
80,8,68,6756,4399574.76,3546629.76,852945.0
81,9,69,4467,365087.91,253144.89,111943.02
82,10,70,8693,412482.85,276350.47,136132.38
83,7,71,5375,828072.5,488748.75,339323.75
84,3,72,2488,1049662.32,907348.72,142313.6
85,6,73,5036,46985.88,34849.12,12136.76
86,4,74,55,11313.5,6441.05,4872.45
87,1,75,1613,1077919.51,810597.02,267322.49
88,7,76,5809,894934.54,528212.37,366722.17
89,9,64,5772,471745.56,327099.24,144646.32
90,9,77,6664,544648.72,377648.88,166999.84
91,12,78,677,73982.56,24263.68,49718.88
92,4,68,2034,418393.8,238201.74,180192.06
93,12,79,1990,217467.2,71321.6,146145.6
94,1,80,3832,2560810.64,1925733.28,635077.36
95,11,31,7877,1201872.66,767534.88,434337.78
96,2,81,6474,1652682.72,1032085.08,620597.64
97,2,82,9002,2298030.56,1435098.84,862931.72
98,3,83,6872,2899228.08,2506149.68,393078.4
99,5,84,8527,3728004.4,2245414.91,1482589.49
100,7,36,4441,684180.46,403820.13,280360.33
101,1,23,2119,1416064.13,1064882.26,351181.87
102,7,84,1096,168849.76,99659.28,69190.48
103,11,47,7940,1211485.2,773673.6,437811.6
104,6,18,1249,11653.17,8643.08,3010.09
105,11,85,6655,1015419.9,648463.2,366956.7
106,8,86,1816,1182597.36,953327.36,229270.0
107,6,51,1427,13313.91,9874.84,3439.07
108,4,42,2210,454597.0,258813.1,195783.9
109,12,87,7921,865606.88,283888.64,581718.24
110,2,76,4346,1109446.88,692839.32,416607.56
111,3,18,4301,1814548.89,1568531.69,246017.2
112,10,88,2636,125078.2,83798.44,41279.76
113,1,66,1231,822640.37,618626.74,204013.63
114,5,10,3997,1747488.4,1052530.01,694958.39
115,10,89,1875,88968.75,59606.25,29362.5
116,2,54,7841,2001650.48,1250012.22,751638.26
117,12,22,1897,207304.16,67988.48,139315.68
118,6,90,6082,56745.06,42087.44,14657.62
119,9,91,9462,773329.26,536211.54,237117.72
120,9,92,3135,256223.55,177660.45,78563.1
121,7,93,5232,806041.92,475745.76,330296.16
122,8,94,5914,3851255.94,3104613.44,746642.5
123,12,95,2372,259212.16,85012.48,174199.68
124,11,56,3832,584686.56,373390.08,211296.48
125,3,96,6547,2762113.83,2387625.43,374488.4
126,10,69,8804,417749.8,279879.16,137870.64
127,1,2,5921,3956826.67,2975539.34,981287.33
128,4,97,5245,1078896.5,614241.95,464654.55
129,3,60,1156,487704.84,421581.64,66123.2
130,10,80,67,3179.15,2129.93,1049.22
131,9,98,5418,442813.14,307038.06,135775.08
132,3,4,2685,1132774.65,979192.65,153582.0
133,9,99,4371,357241.83,247704.57,109537.26
134,1,100,5013,3350037.51,2519233.02,830804.49
135,1,94,6179,4129240.33,3105194.66,1024045.67
136,5,101,1466,640935.2,386041.78,254893.42
137,2,11,1505,384196.4,239927.1,144269.3
138,8,102,8956,5832236.76,4701541.76,1130695.0
139,5,55,3513,1535883.6,925078.29,610805.31
140,3,103,6899,2910619.11,2515996.31,394622.8
118,11,104,7869,1200652.02,766755.36,433896.66
141,7,20,7208,1110464.48,655423.44,455041.04
142,7,105,2735,421354.1,248693.55,172660.55
123,1,106,4298,2872224.46,2159916.92,712307.54
143,3,107,8777,3702928.53,3200884.13,502044.4
144,12,64,5082,555360.96,182138.88,373222.08
145,6,108,9157,85434.81,63366.44,22068.37
146,12,90,8975,980788.0,321664.0,659124.0
147,4,26,9540,1962378.0,1117229.4,845148.6
148,1,109,7890,5272650.3,3965040.6,1307609.7
149,6,99,8091,75489.03,55989.72,19499.31
150,5,80,6242,2729002.4,1643705.86,1085296.54
7,11,82,5472,834917.76,533191.68,301726.08
151,3,46,944,398264.16,344267.36,53996.8
62,9,14,4849,396308.77,274792.83,121515.94
152,2,28,1412,360455.36,225101.04,135354.32
153,2,63,1886,481458.08,300666.12,180791.96
154,8,56,9558,6224265.18,5017567.68,1206697.5
155,7,49,4745,731014.7,431462.85,299551.85
156,3,6,9797,4133256.33,3572867.93,560388.4
157,12,79,4092,447173.76,146657.28,300516.48
158,9,110,9043,739084.39,512466.81,226617.58
83,11,63,3091,471624.78,301187.04,170437.74
159,10,111,6710,318389.5,213310.9,105078.6
160,7,52,7405,1140814.3,673336.65,467477.65
161,7,101,4712,725930.72,428462.16,297468.56
162,7,112,5198,800803.88,472654.14,328149.74
163,8,113,7463,4859980.23,3917776.48,942203.75
164,10,114,7136,338603.2,226853.44,111749.76
165,1,2,1878,1255011.06,943770.12,311240.94
166,10,82,6381,302778.45,202851.99,99926.46
167,6,90,7369,68752.77,50993.48,17759.29
168,11,50,8598,1311882.84,837789.12,474093.72
169,4,59,5852,1203756.4,685327.72,518428.68
170,11,17,1950,297531.0,190008.0,107523.0
171,1,95,1741,1163458.07,874922.14,288535.93
172,5,75,7103,3105431.6,1870432.99,1234998.61
173,9,108,1949,159291.77,110449.83,48841.94
174,8,106,7220,4701736.2,3790211.2,911525.0
175,11,41,5890,898696.2,573921.6,324774.6
176,6,83,7965,74313.45,55117.8,19195.65
177,3,115,5479,2311535.31,1998136.51,313398.8
178,12,116,7501,819709.28,268835.84,550873.44
179,2,20,5130,1309586.4,817824.6,491761.8
180,5,10,6494,2839176.8,1710065.02,1129111.78
181,10,18,1756,83322.2,55823.24,27498.96
182,5,109,8108,3544817.6,2135079.64,1409737.96
183,8,117,4772,3107574.12,2505109.12,602465.0
184,7,118,8005,1233250.3,727894.65,505355.65
185,6,35,6092,56838.36,42156.64,14681.72
186,11,76,4351,663875.58,423961.44,239914.14
187,5,54,130,56836.0,34232.9,22603.1
188,12,106,7809,853367.52,279874.56,573492.96
189,9,112,3800,310574.0,215346.0,95228.0
190,10,1,1544,73262.8,49083.76,24179.04
191,1,34,6516,4354447.32,3274550.64,1079896.68
192,11,65,1220,186147.6,118876.8,67270.8
193,5,117,192,83942.4,50559.36,33383.04
194,12,119,5000,546400.0,179200.0,367200.0
195,10,65,9242,438532.9,293803.18,144729.72
196,1,120,3548,2371021.96,1783011.92,588010.04
197,6,19,580,5411.4,4013.6,1397.8
198,8,47,30,19536.3,15748.8,3787.5
199,7,59,3621,557851.26,329257.53,228593.73
200,3,61,108,45564.12,39386.52,6177.6
201,4,121,278,57184.6,32556.58,24628.02
202,6,122,1947,18165.51,13473.24,4692.27
203,2,123,4965,1267465.2,791520.3,475944.9
204,9,124,6211,507625.03,351977.37,155647.66
205,12,111,4597,502360.16,164756.48,337603.68
179,8,125,6064,3948937.44,3183357.44,765580.0
206,6,45,8587,80116.71,59422.04,20694.67
207,5,12,7170,3134724.0,1888076.1,1246647.9
208,3,10,8850,3733726.5,3227506.5,506220.0
209,4,101,7693,1582450.1,900927.23,681522.87
210,7,1,8298,1278389.88,754537.14,523852.74
211,1,63,8349,5579386.23,4195706.46,1383679.77
212,9,126,2147,175474.31,121670.49,53803.82
213,4,127,3914,805109.8,458368.54,346741.26
214,8,47,4906,3194836.26,2575453.76,619382.5
215,8,128,8408,5475373.68,4413863.68,1061510.0
216,4,129,4738,974606.6,554867.18,419739.42
217,5,110,6245,2730314.0,1644495.85,1085818.15
218,9,96,2308,188632.84,130794.36,57838.48
219,10,130,4338,205838.1,137905.02,67933.08
220,12,77,779,85129.12,27919.36,57209.76
221,1,128,2103,1405371.81,1056841.62,348530.19
222,5,125,5816,2542755.2,1531527.28,1011227.92
223,8,106,1453,946208.13,762766.88,183441.25
224,10,109,5582,264865.9,177451.78,87414.12
225,12,125,6802,743322.56,243783.68,499538.88
153,5,5,742,324402.4,195390.86,129011.54
226,5,131,5064,2213980.8,1333503.12,880477.68
227,12,62,4460,487388.8,159846.4,327542.4
228,1,94,5653,3777730.31,2840858.62,936871.69
229,2,132,2399,612416.72,382448.58,229968.14
230,7,106,484,74565.04,44010.12,30554.92
231,8,68,2725,1774547.25,1430516.0,344031.25
232,1,63,3970,2653031.9,1995083.8,657948.1
233,11,113,6100,930738.0,594384.0,336354.0
234,5,62,3026,1322967.2,796836.58,526130.62
199,5,40,5689,2487230.8,1498084.37,989146.43
235,10,64,7065,335234.25,224596.35,110637.9
236,11,29,7157,1092015.06,697378.08,394636.98
137,10,84,8001,379647.45,254351.79,125295.66
237,5,133,8666,3788775.2,2282017.78,1506757.42
36,1,53,250,167067.5,125635.0,41432.5
102,6,134,882,8229.06,6103.44,2125.62
238,1,70,724,483827.48,363838.96,119988.52
239,11,99,6968,1063177.44,678961.92,384215.52
240,4,135,8838,1817976.6,1035018.18,782958.42
241,7,80,2588,398707.28,235326.84,163380.44
242,11,131,6505,992532.9,633847.2,358685.7
243,5,136,5907,2582540.4,1555490.31,1027050.09
244,3,127,8141,3434606.49,2968941.29,465665.2
245,6,58,7588,70796.04,52508.96,18287.08
246,3,99,658,277603.62,239966.02,37637.6
103,8,21,795,517711.95,417343.2,100368.75
247,2,137,3472,886332.16,553506.24,332825.92
248,6,28,1193,11130.69,8255.56,2875.13
249,10,3,8495,403087.75,270056.05,133031.7
149,10,136,6946,329587.7,220813.34,108774.36
250,10,27,143,6785.35,4545.97,2239.38
251,3,138,8717,3677615.13,3179002.73,498612.4
252,7,139,5329,820985.74,484565.97,336419.77
253,11,26,9671,1475601.18,942342.24,533258.94
254,7,99,3467,534126.02,315254.31,218871.71
255,7,82,5472,843016.32,497568.96,345447.36
256,10,140,6472,307096.4,205744.88,101351.52
257,7,88,4284,659993.04,389544.12,270448.92
258,9,61,8757,715709.61,496259.19,219450.42
240,11,131,6770,1032966.6,659668.8,373297.8
259,10,136,7236,343348.2,230032.44,113315.76
260,1,50,6096,4073773.92,3063483.84,1010290.08
261,10,141,1324,62823.8,42089.96,20733.84
262,7,72,7925,1220925.5,720620.25,500305.25
263,3,142,2934,1237825.26,1070000.46,167824.8
264,4,128,421,86599.7,49303.31,37296.39
265,8,35,6482,4221143.22,3402790.72,818352.5
266,2,36,4248,1084429.44,677216.16,407213.28
42,2,108,8879,2266631.12,1415490.18,851140.94
267,11,137,2570,392130.6,250420.8,141709.8
268,8,75,9542,6213845.82,5009168.32,1204677.5
269,2,29,1051,268299.28,167550.42,100748.86
270,9,4,384,31384.32,21761.28,9623.04
271,2,11,7856,2005479.68,1252403.52,753076.16
272,4,93,5818,1196762.6,681345.98,515416.62
273,1,32,3648,2437848.96,1833265.92,604583.04
193,8,18,2759,1796688.39,1448364.64,348323.75
274,10,81,1592,75540.4,50609.68,24930.72
275,1,13,622,415663.94,312579.88,103084.06
276,5,75,7352,3214294.4,1936002.16,1278292.24
172,12,18,1319,144140.32,47272.96,96867.36
277,12,98,9091,993464.48,325821.44,667643.04
278,7,18,9265,1427365.9,842466.45,584899.45
5,1,64,7473,4993981.71,3755481.42,1238500.29
279,12,10,1375,150260.0,49280.0,100980.0
280,12,1,5664,618961.92,202997.76,415964.16
110,7,85,7062,1087971.72,642147.66,445824.06
281,8,4,9326,6073184.46,4895776.96,1177407.5
168,12,47,8241,900576.48,295357.44,605219.04
282,4,48,6624,1362556.8,775736.64,586820.16
283,11,31,9324,1422655.92,908530.56,514125.36
284,1,143,8222,5494515.94,4131883.88,1362632.06
285,10,134,7228,342968.6,229778.12,113190.48
286,4,98,7284,1498318.8,853029.24,645289.56
287,5,28,1364,596340.8,359182.12,237158.68
288,3,67,3649,1539476.61,1330753.81,208722.8
289,11,129,2956,451026.48,288032.64,162993.84
290,3,135,8495,3583955.55,3098041.55,485914.0
291,3,142,8394,3541344.66,3061207.86,480136.8
292,9,144,2816,230151.68,159582.72,70568.96
293,9,112,8953,731728.69,507366.51,224362.18
294,2,29,6028,1538827.84,960983.76,577844.08
295,9,124,296,24192.08,16774.32,7417.76
296,9,59,43,3514.39,2436.81,1077.58
33,1,109,587,392274.49,294990.98,97283.51
297,2,84,9276,2367977.28,1478779.92,889197.36
298,10,145,491,23297.95,15608.89,7689.06
299,9,51,641,52388.93,36325.47,16063.46
300,5,19,3171,1386361.2,835019.43,551341.77
301,9,114,3553,290386.69,201348.51,89038.18
302,11,104,4292,654873.36,418212.48,236660.88
303,11,95,9924,1514203.92,966994.56,547209.36
304,7,70,2017,310739.02,183405.81,127333.21
305,2,85,4169,1064262.32,664621.98,399640.34
306,9,146,7011,573009.03,397313.37,175695.66
307,3,63,3203,1351313.67,1168102.07,183211.6
308,8,35,2438,1587649.98,1279852.48,307797.5
309,9,33,6439,526259.47,364898.13,161361.34
310,7,145,3961,610231.66,360173.73,250057.93
311,10,142,5791,274782.95,184095.89,90687.06
312,8,124,5673,3694314.33,2978098.08,716216.25
313,7,125,455,70097.3,41373.15,28724.15
314,6,120,3001,27999.33,20766.92,7232.41
315,12,132,7186,785286.08,257546.24,527739.84
316,12,130,1804,197141.12,64655.36,132485.76
317,12,75,144,15736.32,5160.96,10575.36
318,7,94,6273,966418.38,570403.89,396014.49
319,11,147,6289,959575.62,612800.16,346775.46
320,11,114,3323,507023.34,323793.12,183230.22
321,3,74,2535,1069491.15,924489.15,145002.0
322,5,132,6117,2674352.4,1610789.61,1063562.79
323,10,7,8295,393597.75,263698.05,129899.7
324,11,148,322,49130.76,31375.68,17755.08
325,10,4,5484,260215.8,174336.36,85879.44
326,4,72,4099,843164.3,480033.89,363130.41
327,5,139,8516,3723195.2,2242518.28,1480676.92
328,10,136,8114,385009.3,257944.06,127065.24
329,4,100,4305,885538.5,504158.55,381379.95
294,5,149,5531,2418153.2,1456478.23,961674.97
330,12,136,2265,247519.2,81177.6,166341.6
331,7,143,2013,310122.78,183042.09,127080.69
332,6,79,4310,40212.3,29825.2,10387.1
333,12,30,5724,625518.72,205148.16,420370.56
334,2,53,4854,1239129.12,773824.68,465304.44
335,7,139,7330,1129259.8,666516.9,462742.9
336,9,93,812,66364.76,46016.04,20348.72
